"Date","Price","Open","High","Low","Vol.","Change %"
"05/05/2025","29,369.6","29,392.2","29,513.2","29,325.5","","-0.02%"
"05/02/2025","29,375.3","29,366.2","29,596.3","29,316.7","","0.03%"
"05/01/2025","29,366.2","29,459.8","29,493.6","29,297.2","","-0.32%"
"04/30/2025","29,459.8","29,608.0","29,645.7","29,429.9","","-0.50%"
"04/29/2025","29,608.0","29,697.2","29,701.6","29,549.7","","-0.30%"
"04/28/2025","29,697.2","29,586.5","29,705.0","29,423.0","","0.42%"
"04/25/2025","29,573.4","29,645.7","29,660.0","29,459.3","","-0.24%"
"04/24/2025","29,645.7","29,413.3","29,694.4","29,409.5","","0.79%"
"04/23/2025","29,413.3","29,657.2","29,747.7","29,361.2","","-0.81%"
"04/22/2025","29,653.3","29,813.9","29,926.6","29,593.3","","-0.43%"
"04/21/2025","29,782.7","29,551.9","29,955.3","29,550.6","","0.85%"
"04/18/2025","29,531.2","29,406.4","29,580.4","29,386.4","","0.59%"
"04/17/2025","29,358.6","29,450.4","29,491.1","29,324.9","","-0.28%"
"04/16/2025","29,441.0","29,132.7","29,496.9","29,126.3","","1.19%"
"04/15/2025","29,093.7","29,315.8","29,462.5","29,083.7","","-0.73%"
"04/14/2025","29,307.7","29,075.1","29,504.9","29,064.8","","0.33%"
"04/11/2025","29,212.2","28,860.7","29,525.5","28,828.5","","1.36%"
"04/10/2025","28,821.1","28,463.0","28,963.7","28,260.4","","1.38%"
"04/09/2025","28,428.8","28,519.5","28,878.4","28,362.9","","-0.18%"
"04/08/2025","28,480.1","28,133.6","28,570.2","28,133.6","","1.31%"
"04/07/2025","28,110.5","28,111.7","28,511.6","28,078.1","","-0.47%"
"04/04/2025","28,242.0","28,519.7","28,650.4","28,183.9","","-0.90%"
"04/03/2025","28,497.9","27,822.7","28,762.3","27,693.2","","2.55%"
"04/02/2025","27,788.8","27,669.1","28,000.8","27,637.2","","0.50%"
"04/01/2025","27,651.7","27,676.6","27,785.7","27,628.1","","-0.01%"
"03/31/2025","27,653.7","27,677.3","27,742.3","27,590.9","","-0.03%"
"03/28/2025","27,663.0","27,624.8","27,736.1","27,529.9","","0.20%"
"03/27/2025","27,607.4","27,496.7","27,676.0","27,443.0","","0.48%"
"03/26/2025","27,476.7","27,646.5","27,678.1","27,472.4","","-0.54%"
"03/25/2025","27,625.0","27,695.0","27,750.3","27,619.6","","-0.16%"
"03/24/2025","27,669.6","27,675.2","27,832.2","27,633.2","","0.01%"
"03/21/2025","27,667.6","27,739.0","27,810.9","27,645.7","","-0.18%"
"03/20/2025","27,718.9","27,851.7","27,904.2","27,643.1","","-0.42%"
"03/19/2025","27,835.7","27,937.1","27,953.5","27,743.2","","-0.29%"
"03/18/2025","27,915.6","27,886.4","27,970.7","27,801.8","","0.20%"
